ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\MOSFET Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:TEST  06/12/2026  16:40:39
DATE:06/12/2026
TIME:16:40:39

CONDITIONS:

ID:,D,
UNIT:,SMU1,
MODE: CONST,
VALUE:,5

ID:,G,
UNIT:,SMU3,
MODE: SWEEP,
START:,-10,
STOP:,10,
PNTS:,51,
STEP:,0.4

ID:,S,
UNIT:,SMU2,
MODE: CONST,
VALUE:,0

ID:,B,
UNIT:,SMU4,
MODE: CONST,
VALUE:,0

DATA:  TEST  06/12/2026  16:40:39

VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,1.15950000E-004,-1.00000000E+001,-3.68340000E-009,0.00000000E+000
5.00000000E+000,1.10700000E-004,-9.60000000E+000,2.62590000E-009,*
5.00000000E+000,1.10500000E-004,-9.20000000E+000,-2.37990000E-009,*
5.00000000E+000,1.10300000E-004,-8.80000000E+000,1.74300000E-009,*
5.00000000E+000,1.10200000E-004,-8.40000000E+000,-1.25000000E-009,*
5.00000000E+000,1.10150000E-004,-8.00000000E+000,-4.29000000E-010,*
5.00000000E+000,1.10100000E-004,-7.60000000E+000,3.25000000E-009,*
5.00000000E+000,1.10150000E-004,-7.20000000E+000,-3.32990000E-009,*
5.00000000E+000,1.10250000E-004,-6.80000000E+000,2.74040000E-009,*
5.00000000E+000,1.10350000E-004,-6.40000000E+000,-2.02100000E-009,*
5.00000000E+000,1.10450000E-004,-6.00000000E+000,1.31900000E-009,*
5.00000000E+000,1.10750000E-004,-5.60000000E+000,6.30000000E-011,*
5.00000000E+000,1.11100000E-004,-5.20000000E+000,-2.66140000E-009,*
5.00000000E+000,1.11550000E-004,-4.80000000E+000,3.56040000E-009,*
5.00000000E+000,1.12150000E-004,-4.40000000E+000,-2.91240000E-009,*
5.00000000E+000,1.13000000E-004,-4.00000000E+000,2.39700000E-009,*
5.00000000E+000,1.14150000E-004,-3.60000000E+000,-1.93950000E-009,*
5.00000000E+000,1.15800000E-004,-3.20000000E+000,1.40000000E-009,*
5.00000000E+000,1.18200000E-004,-2.80000000E+000,1.48500000E-010,*
5.00000000E+000,1.22400000E-004,-2.40000000E+000,-2.42990000E-009,*
5.00000000E+000,1.30600000E-004,-2.00000000E+000,3.58190000E-009,*
5.00000000E+000,1.49350000E-004,-1.60000000E+000,-3.04650000E-009,*
5.00000000E+000,1.95300000E-004,-1.20000000E+000,2.77150000E-009,*
5.00000000E+000,3.07800000E-004,-8.00000000E-001,-1.95850000E-009,*
5.00000000E+000,5.25360000E-004,-4.00000000E-001,1.86590000E-009,*
5.00000000E+000,8.51960000E-004,0.00000000E+000,-6.49970000E-011,*
5.00000000E+000,1.26700000E-003,4.00000000E-001,-7.30980000E-010,*
5.00000000E+000,1.75300000E-003,8.00000000E-001,3.32440000E-009,*
5.00000000E+000,2.30050000E-003,1.20000000E+000,-3.19290000E-009,*
5.00000000E+000,2.89110000E-003,1.60000000E+000,3.22540000E-009,*
5.00000000E+000,3.53000000E-003,2.00000000E+000,-2.14090000E-009,*
5.00000000E+000,4.20260000E-003,2.40000000E+000,2.01900000E-009,*
5.00000000E+000,4.90670000E-003,2.80000000E+000,-9.71970000E-010,*
5.00000000E+000,5.64100000E-003,3.20000000E+000,-1.19500000E-009,*
5.00000000E+000,6.39340000E-003,3.60000000E+000,3.54990000E-009,*
5.00000000E+000,7.17620000E-003,4.00000000E+000,-2.72190000E-009,*
5.00000000E+000,7.96600000E-003,4.40000000E+000,2.26250000E-009,*
5.00000000E+000,8.76710000E-003,4.80000000E+000,-9.24470000E-010,*
5.00000000E+000,9.57680000E-003,5.20000000E+000,-1.22900000E-009,*
5.00000000E+000,1.03730000E-002,5.60000000E+000,3.57440000E-009,*
5.00000000E+000,1.11650000E-002,6.00000000E+000,3.58790000E-009,*
5.00000000E+000,1.19350000E-002,6.40000000E+000,-2.32940000E-009,*
5.00000000E+000,1.26800000E-002,6.80000000E+000,2.24600000E-009,*
5.00000000E+000,1.34000000E-002,7.20000000E+000,-8.67490000E-010,*
5.00000000E+000,1.41050000E-002,7.60000000E+000,-1.36500000E-009,*
5.00000000E+000,1.47900000E-002,8.00000000E+000,3.61640000E-009,*
5.00000000E+000,1.54550000E-002,8.40000000E+000,-2.73850000E-009,*
5.00000000E+000,1.60950000E-002,8.80000000E+000,2.28150000E-009,*
5.00000000E+000,1.67260000E-002,9.20000000E+000,-8.09000000E-010,*
5.00000000E+000,1.73450000E-002,9.60000000E+000,-1.26040000E-009,*
5.00000000E+000,1.79410000E-002,1.00000000E+001,3.54740000E-009,*

TEST RESULTS:  TEST  06/12/2026  16:40:39


SETUP:1V GATE  06/12/2026  16:40:53
DATE:06/12/2026
TIME:16:40:53

CONDITIONS:

ID:,D,
UNIT:,SMU1,
MODE: SWEEP,
START:,0,
STOP:,10,
PNTS:,51,
STEP:,0.2

ID:,G,
UNIT:,SMU3,
MODE: CONST,
VALUE:,1

ID:,S,
UNIT:,SMU2,
MODE: CONST,
VALUE:,0

ID:,B,
UNIT:,SMU4,
MODE: CONST,
VALUE:,0

DATA:  1V GATE  06/12/2026  16:40:53

VD,ID,VG,IG,ACCSTRESS
0.00000000E+000,2.51350000E-006,1.00000000E+000,1.56190000E-009,0.00000000E+000
2.00000000E-001,3.39750000E-004,1.00000000E+000,-1.46550000E-009,*
4.00000000E-001,6.44000000E-004,1.00000000E+000,2.95440000E-009,*
6.00000000E-001,9.11350000E-004,1.00000000E+000,-3.38050000E-009,*
8.00000000E-001,1.13600000E-003,1.00000000E+000,3.41950000E-009,*
1.00000000E+000,1.32250000E-003,1.00000000E+000,-3.05940000E-009,*
1.20000000E+000,1.46450000E-003,1.00000000E+000,2.30150000E-009,*
1.40000000E+000,1.57000000E-003,1.00000000E+000,-2.08590000E-009,*
1.60000000E+000,1.64600000E-003,1.00000000E+000,1.26150000E-009,*
1.80000000E+000,1.70050000E-003,1.00000000E+000,-2.50000000E-012,*
2.00000000E+000,1.74500000E-003,1.00000000E+000,-2.82740000E-009,*
2.20000000E+000,1.77650000E-003,1.00000000E+000,3.37340000E-009,*
2.40000000E+000,1.80900000E-003,1.00000000E+000,-2.92890000E-009,*
