ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  06/12/2026  16:21:22
DATE:06/12/2026
TIME:16:21:22

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  06/12/2026  16:21:22

VD,ID,
-2.00000000E+000,-1.07100000E-006,
-1.95394737E+000,-1.11650000E-006,
-1.90789474E+000,-1.07900000E-006,
-1.86184211E+000,-1.06750000E-006,
-1.81578947E+000,-1.06550000E-006,
-1.76973684E+000,-1.08050000E-006,
-1.72368421E+000,-1.02000000E-006,
-1.67763158E+000,-1.10600000E-006,
-1.63157895E+000,-1.10950000E-006,
-1.58552632E+000,-1.15750000E-006,
-1.53947368E+000,-1.15300000E-006,
-1.49342105E+000,-1.15050000E-006,
-1.44736842E+000,-1.13900000E-006,
-1.40131579E+000,-1.14250000E-006,
-1.35526316E+000,-1.09050000E-006,
-1.30921053E+000,-1.15550000E-006,
-1.26315789E+000,-1.02150000E-006,
-1.21710526E+000,-1.08250000E-006,
-1.17105263E+000,-1.17450000E-006,
-1.12500000E+000,-1.02700000E-006,
-1.07894737E+000,-1.12750000E-006,
-1.03289474E+000,-1.16050000E-006,
-9.86842105E-001,-1.09500000E-006,
-9.40789474E-001,-1.15100000E-006,
-8.94736842E-001,-1.02450000E-006,
-8.48684211E-001,-1.02200000E-006,
-8.02631579E-001,-1.15250000E-006,
-7.56578947E-001,-1.04800000E-006,
-7.10526316E-001,-1.16350000E-006,
-6.64473684E-001,-1.03850000E-006,
-6.18421053E-001,-1.16150000E-006,
-5.72368421E-001,-1.05400000E-006,
-5.26315789E-001,-1.13800000E-006,
-4.80263158E-001,-1.05300000E-006,
-4.34210526E-001,-1.12450000E-006,
-3.88157895E-001,-1.05200000E-006,
-3.42105263E-001,-1.11700000E-006,
-2.96052632E-001,-1.03250000E-006,
-2.50000000E-001,-1.09750000E-006,
-2.03947368E-001,-9.64210000E-007,
-1.57894737E-001,-1.05000000E-006,
-1.11842105E-001,-1.02200000E-006,
-6.57894737E-002,-8.67320000E-007,
-1.97368421E-002,-9.00470000E-007,
2.63157895E-002,-8.99220000E-007,
7.23684211E-002,-6.62630000E-007,
1.18421053E-001,-6.41100000E-007,
1.64473684E-001,-3.52490000E-007,
2.10526316E-001,-2.15850000E-007,
2.56578947E-001,1.70340000E-007,
3.02631579E-001,9.66540000E-007,
3.48684211E-001,2.39940000E-006,
3.94736842E-001,5.06850000E-006,
4.40789474E-001,8.60360000E-006,
4.86842105E-001,1.29850000E-005,
5.32894737E-001,1.82500000E-005,
5.78947368E-001,2.45790000E-005,
6.25000000E-001,3.26240000E-005,
6.71052632E-001,4.25040000E-005,
7.17105263E-001,5.48050000E-005,
7.63157895E-001,6.98340000E-005,
8.09210526E-001,8.80810000E-005,
8.55263158E-001,1.10550000E-004,
9.01315789E-001,1.38150000E-004,
9.47368421E-001,1.72150000E-004,
9.93421053E-001,2.13900000E-004,
1.03947368E+000,2.64640000E-004,
1.08552632E+000,3.25900000E-004,
1.13157895E+000,3.98500000E-004,
1.17763158E+000,4.84700000E-004,
1.22368421E+000,5.85700000E-004,
1.26973684E+000,7.08010000E-004,
1.31578947E+000,8.61850000E-004,
1.36184211E+000,1.09300000E-003,
1.40789474E+000,2.49950000E-003,
1.45394737E+000,3.76450000E-003,
1.50000000E+000,4.94500000E-003,
1.54605263E+000,6.12160000E-003,
1.59210526E+000,7.35450000E-003,
1.63815789E+000,8.67030000E-003,
1.68421053E+000,1.00830000E-002,
1.73026316E+000,1.16150000E-002,
1.77631579E+000,1.31900000E-002,
1.82236842E+000,1.48600000E-002,
1.86842105E+000,1.66200000E-002,
1.91447368E+000,1.84500000E-002,
1.96052632E+000,2.03400000E-002,
2.00657895E+000,2.23050000E-002,
2.05263158E+000,2.43300000E-002,
2.09868421E+000,2.64250000E-002,
2.14473684E+000,2.85700000E-002,
2.19078947E+000,3.07800000E-002,
2.23684211E+000,3.30300000E-002,
2.28289474E+000,3.53600000E-002,
2.32894737E+000,3.77450000E-002,
2.37500000E+000,4.01710000E-002,
2.42105263E+000,4.26710000E-002,
2.46710526E+000,4.52160000E-002,
2.51315789E+000,4.78460000E-002,
2.55921053E+000,5.05050000E-002,
2.60526316E+000,5.32250000E-002,
2.65131579E+000,5.59410000E-002,
2.69736842E+000,5.87200000E-002,
2.74342105E+000,6.15750000E-002,
2.78947368E+000,6.45290000E-002,
2.83552632E+000,6.75090000E-002,
2.88157895E+000,7.05340000E-002,
2.92763158E+000,7.36050000E-002,
2.97368421E+000,7.67900000E-002,
3.01973684E+000,8.00700000E-002,
3.06578947E+000,8.34960000E-002,
3.11184211E+000,8.68000000E-002,
3.15789474E+000,9.01450000E-002,
3.20394737E+000,9.35360000E-002,
3.25000000E+000,9.68360000E-002,
3.29605263E+000,9.99910000E-002,
3.34210526E+000,9.99910000E-002,
3.38815789E+000,9.99910000E-002,
3.43421053E+000,9.99910000E-002,
3.48026316E+000,9.99910000E-002,
3.52631579E+000,9.99910000E-002,
3.57236842E+000,9.99910000E-002,
3.61842105E+000,9.99910000E-002,
3.66447368E+000,9.99910000E-002,
3.71052632E+000,9.99910000E-002,
3.75657895E+000,9.99910000E-002,
3.80263158E+000,9.99870000E-002,
3.84868421E+000,9.99910000E-002,
3.89473684E+000,9.99910000E-002,
3.94078947E+000,9.99910000E-002,
3.98684211E+000,9.99910000E-002,
4.03289474E+000,9.99910000E-002,
4.07894737E+000,9.99870000E-002,
4.12500000E+000,9.99910000E-002,
4.17105263E+000,9.99910000E-002,
4.21710526E+000,9.99910000E-002,
4.26315789E+000,9.99910000E-002,
4.30921053E+000,9.99910000E-002,
4.35526316E+000,9.99910000E-002,
4.40131579E+000,9.99870000E-002,
4.44736842E+000,9.99910000E-002,
4.49342105E+000,9.99910000E-002,
4.53947368E+000,9.99910000E-002,
4.58552632E+000,9.99910000E-002,
4.63157895E+000,9.99910000E-002,
4.67763158E+000,9.99910000E-002,
4.72368421E+000,9.99910000E-002,
4.76973684E+000,9.99910000E-002,
4.81578947E+000,9.99910000E-002,
4.86184211E+000,9.99910000E-002,
4.90789474E+000,9.99870000E-002,
4.95394737E+000,9.99910000E-002,
5.00000000E+000,9.99910000E-002,

TEST RESULTS:  DIODE/RESISTOR  06/12/2026  16:21:22


