ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  06/12/2026  16:18:15
DATE:06/12/2026
TIME:16:18:15

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  06/12/2026  16:18:15

VD,ID,
-2.00000000E+000,-3.56100000E-003,
-1.95394737E+000,-3.48400000E-003,
-1.90789474E+000,-3.40560000E-003,
-1.86184211E+000,-3.32860000E-003,
-1.81578947E+000,-3.24950000E-003,
-1.76973684E+000,-3.17160000E-003,
-1.72368421E+000,-3.09300000E-003,
-1.67763158E+000,-3.01500000E-003,
-1.63157895E+000,-2.93650000E-003,
-1.58552632E+000,-2.85760000E-003,
-1.53947368E+000,-2.77810000E-003,
-1.49342105E+000,-2.69900000E-003,
-1.44736842E+000,-2.61950000E-003,
-1.40131579E+000,-2.54000000E-003,
-1.35526316E+000,-2.46000000E-003,
-1.30921053E+000,-2.38050000E-003,
-1.26315789E+000,-2.30050000E-003,
-1.21710526E+000,-2.22000000E-003,
-1.17105263E+000,-2.13960000E-003,
-1.12500000E+000,-2.05900000E-003,
-1.07894737E+000,-1.97850000E-003,
-1.03289474E+000,-1.89700000E-003,
-9.86842105E-001,-1.81600000E-003,
-9.40789474E-001,-1.73400000E-003,
-8.94736842E-001,-1.65250000E-003,
-8.48684211E-001,-1.57050000E-003,
-8.02631579E-001,-1.48850000E-003,
-7.56578947E-001,-1.40600000E-003,
-7.10526316E-001,-1.32300000E-003,
-6.64473684E-001,-1.23950000E-003,
-6.18421053E-001,-1.15650000E-003,
-5.72368421E-001,-1.07300000E-003,
-5.26315789E-001,-9.88840000E-004,
-4.80263158E-001,-9.04860000E-004,
-4.34210526E-001,-8.20070000E-004,
-3.88157895E-001,-7.35460000E-004,
-3.42105263E-001,-6.49900000E-004,
-2.96052632E-001,-5.64460000E-004,
-2.50000000E-001,-4.78660000E-004,
-2.03947368E-001,-3.92260000E-004,
-1.57894737E-001,-3.06000000E-004,
-1.11842105E-001,-2.19100000E-004,
-6.57894737E-002,-1.31950000E-004,
-1.97368421E-002,-4.47390000E-005,
2.63157895E-002,4.22650000E-005,
7.23684211E-002,1.29600000E-004,
1.18421053E-001,2.16850000E-004,
1.64473684E-001,3.03700000E-004,
2.10526316E-001,3.90100000E-004,
2.56578947E-001,4.76700000E-004,
3.02631579E-001,5.63060000E-004,
3.48684211E-001,6.48940000E-004,
3.94736842E-001,7.34750000E-004,
4.40789474E-001,8.20220000E-004,
4.86842105E-001,9.05300000E-004,
5.32894737E-001,9.89790000E-004,
5.78947368E-001,1.07450000E-003,
6.25000000E-001,1.15850000E-003,
6.71052632E-001,1.24250000E-003,
7.17105263E-001,1.32600000E-003,
7.63157895E-001,1.40900000E-003,
8.09210526E-001,1.49200000E-003,
8.55263158E-001,1.57500000E-003,
9.01315789E-001,1.65700000E-003,
9.47368421E-001,1.73950000E-003,
9.93421053E-001,1.82150000E-003,
1.03947368E+000,1.90350000E-003,
1.08552632E+000,1.98510000E-003,
1.13157895E+000,2.06650000E-003,
1.17763158E+000,2.14700000E-003,
1.22368421E+000,2.22800000E-003,
1.26973684E+000,2.30900000E-003,
1.31578947E+000,2.38910000E-003,
1.36184211E+000,2.46950000E-003,
1.40789474E+000,2.55000000E-003,
1.45394737E+000,2.63000000E-003,
1.50000000E+000,2.70950000E-003,
1.54605263E+000,2.78900000E-003,
1.59210526E+000,2.86850000E-003,
1.63815789E+000,2.94800000E-003,
1.68421053E+000,3.02710000E-003,
1.73026316E+000,3.10600000E-003,
1.77631579E+000,3.18500000E-003,
1.82236842E+000,3.26350000E-003,
1.86842105E+000,3.34200000E-003,
1.91447368E+000,3.42050000E-003,
1.96052632E+000,3.49900000E-003,
2.00657895E+000,3.57700000E-003,
2.05263158E+000,3.65510000E-003,
2.09868421E+000,3.73300000E-003,
2.14473684E+000,3.81100000E-003,
2.19078947E+000,3.88850000E-003,
2.23684211E+000,3.96610000E-003,
2.28289474E+000,4.04360000E-003,
2.32894737E+000,4.12110000E-003,
2.37500000E+000,4.19810000E-003,
2.42105263E+000,4.27510000E-003,
2.46710526E+000,4.35210000E-003,
2.51315789E+000,4.42960000E-003,
2.55921053E+000,4.50660000E-003,
2.60526316E+000,4.58360000E-003,
2.65131579E+000,4.66010000E-003,
2.69736842E+000,4.73710000E-003,
2.74342105E+000,4.81340000E-003,
2.78947368E+000,4.89000000E-003,
2.83552632E+000,4.96700000E-003,
2.88157895E+000,5.04350000E-003,
2.92763158E+000,5.12000000E-003,
2.97368421E+000,5.19660000E-003,
3.01973684E+000,5.27310000E-003,
3.06578947E+000,5.34920000E-003,
3.11184211E+000,5.42540000E-003,
3.15789474E+000,5.50200000E-003,
3.20394737E+000,5.57850000E-003,
3.25000000E+000,5.65460000E-003,
3.29605263E+000,5.73060000E-003,
3.34210526E+000,5.80720000E-003,
3.38815789E+000,5.88300000E-003,
3.43421053E+000,5.95950000E-003,
3.48026316E+000,6.03560000E-003,
3.52631579E+000,6.11160000E-003,
3.57236842E+000,6.18740000E-003,
3.61842105E+000,6.26350000E-003,
3.66447368E+000,6.33950000E-003,
3.71052632E+000,6.41560000E-003,
3.75657895E+000,6.49170000E-003,
3.80263158E+000,6.56750000E-003,
3.84868421E+000,6.64350000E-003,
3.89473684E+000,6.71960000E-003,
3.94078947E+000,6.79560000E-003,
3.98684211E+000,6.87150000E-003,
4.03289474E+000,6.94750000E-003,
4.07894737E+000,7.02360000E-003,
4.12500000E+000,7.09960000E-003,
4.17105263E+000,7.17500000E-003,
4.21710526E+000,7.25100000E-003,
4.26315789E+000,7.32710000E-003,
4.30921053E+000,7.40310000E-003,
4.35526316E+000,7.47850000E-003,
4.40131579E+000,7.55450000E-003,
4.44736842E+000,7.63060000E-003,
4.49342105E+000,7.70620000E-003,
4.53947368E+000,7.78250000E-003,
4.58552632E+000,7.85830000E-003,
4.63157895E+000,7.93410000E-003,
4.67763158E+000,8.00990000E-003,
4.72368421E+000,8.08570000E-003,
4.76973684E+000,8.16150000E-003,
4.81578947E+000,8.23740000E-003,
4.86184211E+000,8.31320000E-003,
4.90789474E+000,8.38900000E-003,
4.95394737E+000,8.46530000E-003,
5.00000000E+000,8.54110000E-003,

TEST RESULTS:  DIODE/RESISTOR  06/12/2026  16:18:15


