ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  06/12/2026  16:53:12
DATE:06/12/2026
TIME:16:53:12

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  06/12/2026  16:53:12

VD,ID,
-2.00000000E+000,-7.76940000E-002,
-1.95394737E+000,-7.57710000E-002,
-1.90789474E+000,-7.40090000E-002,
-1.86184211E+000,-7.22050000E-002,
-1.81578947E+000,-7.06940000E-002,
-1.76973684E+000,-6.88510000E-002,
-1.72368421E+000,-6.70360000E-002,
-1.67763158E+000,-6.52240000E-002,
-1.63157895E+000,-6.35110000E-002,
-1.58552632E+000,-6.17660000E-002,
-1.53947368E+000,-6.00200000E-002,
-1.49342105E+000,-5.82560000E-002,
-1.44736842E+000,-5.64800000E-002,
-1.40131579E+000,-5.47200000E-002,
-1.35526316E+000,-5.29650000E-002,
-1.30921053E+000,-5.12050000E-002,
-1.26315789E+000,-4.94460000E-002,
-1.21710526E+000,-4.76760000E-002,
-1.17105263E+000,-4.59100000E-002,
-1.12500000E+000,-4.41400000E-002,
-1.07894737E+000,-4.23660000E-002,
-1.03289474E+000,-4.05850000E-002,
-9.86842105E-001,-3.88110000E-002,
-9.40789474E-001,-3.70250000E-002,
-8.94736842E-001,-3.52400000E-002,
-8.48684211E-001,-3.34510000E-002,
-8.02631579E-001,-3.16600000E-002,
-7.56578947E-001,-2.98700000E-002,
-7.10526316E-001,-2.80750000E-002,
-6.64473684E-001,-2.62800000E-002,
-6.18421053E-001,-2.44800000E-002,
-5.72368421E-001,-2.26760000E-002,
-5.26315789E-001,-2.08700000E-002,
-4.80263158E-001,-1.90650000E-002,
-4.34210526E-001,-1.72610000E-002,
-3.88157895E-001,-1.54550000E-002,
-3.42105263E-001,-1.36350000E-002,
-2.96052632E-001,-1.18300000E-002,
-2.50000000E-001,-1.00110000E-002,
-2.03947368E-001,-8.19920000E-003,
-1.57894737E-001,-6.38650000E-003,
-1.11842105E-001,-4.56810000E-003,
-6.57894737E-002,-2.74900000E-003,
-1.97368421E-002,-9.31110000E-004,
2.63157895E-002,8.86140000E-004,
7.23684211E-002,2.70900000E-003,
1.18421053E-001,4.53000000E-003,
1.64473684E-001,6.34360000E-003,
2.10526316E-001,8.15440000E-003,
2.56578947E-001,9.97160000E-003,
3.02631579E-001,1.18250000E-002,
3.48684211E-001,1.36400000E-002,
3.94736842E-001,1.54700000E-002,
4.40789474E-001,1.72950000E-002,
4.86842105E-001,1.91200000E-002,
5.32894737E-001,2.09460000E-002,
5.78947368E-001,2.27700000E-002,
6.25000000E-001,2.46150000E-002,
6.71052632E-001,2.64410000E-002,
7.17105263E-001,2.82750000E-002,
7.63157895E-001,3.01100000E-002,
8.09210526E-001,3.19460000E-002,
8.55263158E-001,3.37940000E-002,
9.01315789E-001,3.56600000E-002,
9.47368421E-001,3.75100000E-002,
9.93421053E-001,3.93810000E-002,
1.03947368E+000,4.12600000E-002,
1.08552632E+000,4.34650000E-002,
1.13157895E+000,4.54350000E-002,
1.17763158E+000,4.73500000E-002,
1.22368421E+000,4.93660000E-002,
1.26973684E+000,5.12960000E-002,
1.31578947E+000,5.32300000E-002,
1.36184211E+000,5.51800000E-002,
1.40789474E+000,5.71160000E-002,
1.45394737E+000,5.91160000E-002,
1.50000000E+000,6.10750000E-002,
1.54605263E+000,6.30420000E-002,
1.59210526E+000,6.49640000E-002,
1.63815789E+000,6.70050000E-002,
1.68421053E+000,6.90310000E-002,
1.73026316E+000,7.11020000E-002,
1.77631579E+000,7.32000000E-002,
1.82236842E+000,7.54510000E-002,
1.86842105E+000,7.77510000E-002,
1.91447368E+000,7.98150000E-002,
1.96052632E+000,8.21270000E-002,
2.00657895E+000,8.40570000E-002,
2.05263158E+000,8.61320000E-002,
2.09868421E+000,8.82110000E-002,
2.14473684E+000,9.03510000E-002,
2.19078947E+000,9.26510000E-002,
2.23684211E+000,9.49060000E-002,
2.28289474E+000,9.72290000E-002,
2.32894737E+000,9.94000000E-002,
2.37500000E+000,9.99870000E-002,
2.42105263E+000,9.99790000E-002,
2.46710526E+000,9.99790000E-002,
2.51315789E+000,9.99870000E-002,
2.55921053E+000,9.99790000E-002,
2.60526316E+000,9.99790000E-002,
2.65131579E+000,9.99790000E-002,
2.69736842E+000,9.99790000E-002,
2.74342105E+000,9.99790000E-002,
2.78947368E+000,9.99790000E-002,
2.83552632E+000,9.99790000E-002,
2.88157895E+000,9.99790000E-002,
2.92763158E+000,9.99790000E-002,
2.97368421E+000,9.99790000E-002,
3.01973684E+000,9.99790000E-002,
3.06578947E+000,9.99790000E-002,
3.11184211E+000,9.99790000E-002,
3.15789474E+000,9.99790000E-002,
3.20394737E+000,9.99790000E-002,
3.25000000E+000,9.99790000E-002,
3.29605263E+000,9.99870000E-002,
3.34210526E+000,9.99790000E-002,
3.38815789E+000,9.99790000E-002,
3.43421053E+000,9.99790000E-002,
3.48026316E+000,9.99790000E-002,
3.52631579E+000,9.99790000E-002,
3.57236842E+000,9.99790000E-002,
3.61842105E+000,9.99790000E-002,
3.66447368E+000,9.99870000E-002,
3.71052632E+000,9.99870000E-002,
3.75657895E+000,9.99790000E-002,
3.80263158E+000,9.99790000E-002,
3.84868421E+000,9.99790000E-002,
3.89473684E+000,9.99790000E-002,
3.94078947E+000,9.99790000E-002,
3.98684211E+000,9.99790000E-002,
4.03289474E+000,9.99790000E-002,
4.07894737E+000,9.99790000E-002,
4.12500000E+000,9.99870000E-002,
4.17105263E+000,9.99790000E-002,
4.21710526E+000,9.99790000E-002,
4.26315789E+000,9.99790000E-002,
4.30921053E+000,9.99870000E-002,
4.35526316E+000,9.99790000E-002,
4.40131579E+000,9.99790000E-002,
4.44736842E+000,9.99790000E-002,
4.49342105E+000,9.99790000E-002,
4.53947368E+000,9.99790000E-002,
4.58552632E+000,9.99790000E-002,
4.63157895E+000,9.99790000E-002,
4.67763158E+000,9.99790000E-002,
4.72368421E+000,9.99790000E-002,
4.76973684E+000,9.99870000E-002,
4.81578947E+000,9.99790000E-002,
4.86184211E+000,9.99790000E-002,
4.90789474E+000,9.99790000E-002,
4.95394737E+000,9.99870000E-002,
5.00000000E+000,9.99790000E-002,

TEST RESULTS:  DIODE/RESISTOR  06/12/2026  16:53:12


